,count,mean,min,25%,50%,75%,max,std
Date,2109,2022-03-11 20:05:07.254623,2018-01-02 00:00:00,2020-02-06 00:00:00,2022-03-10 00:00:00,2024-04-16 00:00:00,2026-05-22 00:00:00,
^IXIC_Volume,2109.0,5002703319.1085825,958950000.0,3089970000.0,4677520000.0,5950950000.0,93974540000.0,3069035572.8655877
AMD_Return,2108.0,0.002398126715892855,-0.1731444304789821,-0.016848839160209544,0.0006803207355138285,0.020597804987679103,0.23820480081192907,0.03533204520077252
AMD_LogReturn,2108.0,0.0017795756002714372,-0.1901252430786382,-0.016992395963955076,0.0006800894183573991,0.02038853893602255,0.21366258934626892,0.03504397198369967
AMD_NormClose,2109.0,889.3280187080214,86.79417240695247,432.60475391901093,827.9599950110149,1206.7395767214516,4257.8326890385815,598.2723921741388
AMD_MA20,2090.0,96.52374517290215,9.929500007629395,48.561499977111815,91.55375022888184,131.12762489318848,405.89600067138673,61.13926519045084
AMD_MA50,2060.0,95.5846536450525,10.79420000076294,48.37390016555786,89.83400016784668,130.24555007934572,303.1888003540039,57.276596784036265
AMD_Volatility20,2089.0,0.5261723945821472,0.1986694697888457,0.39761748172640315,0.4853321261474186,0.6187341307095265,1.1985016030276774,0.18885444929506534
AMD_Return_Capped,2108.0,0.001955061076534569,-0.07301880538204251,-0.016848839160209544,0.0006803207355138285,0.020597804987679103,0.07676777120951207,0.031126815176461816
AMD_Volume_Capped,2109.0,62309242.24751067,7956800.0,41441500.0,54671700.0,77984500.0,132799000.0,28190502.516715888
MSFT_Return,2108.0,0.0009543859660614676,-0.1473901985620325,-0.007510812097797359,0.0011556732441336814,0.01028381513929938,0.14216905323584705,0.017958957714645882
MSFT_LogReturn,2108.0,0.000792790419424273,-0.15945327877766324,-0.007539161060164279,0.0011550059670861756,0.010231296466799877,0.13292913288389396,0.017967931604417314
MSFT_NormClose,2109.0,343.0691092237947,98.90634873025202,192.9794168964051,329.5388214500443,494.89039348528416,684.4462730023613,160.89469392710555
MSFT_MA20,2090.0,270.1927496956638,82.25124702453613,153.0873508453369,257.14988174438474,390.17957458496096,518.4599670410156,125.9130780324398
MSFT_MA50,2060.0,270.5733155834605,83.85649826049804,155.9266177368164,258.7142134094238,392.7200267028809,511.20739990234375,124.90852617682079
MSFT_Volatility20,2089.0,0.25923150523017824,0.07804889404451414,0.1788505208909472,0.23294235705709443,0.31290241089768506,1.1314468894759788,0.1265857665705485
MSFT_Return_Capped,2108.0,0.0009445607922219679,-0.03420275295344247,-0.007510812097797359,0.0011556732441336814,0.01028381513929938,0.03697575599494449,0.015268362299753408
MSFT_Volume_Capped,2109.0,27308112.541488856,5855900.0,20006100.0,25052100.0,32440600.0,51092350.0,9854129.384171914
NVDA_Return,2108.0,0.0023025675609152016,-0.18755892247243877,-0.014913075616943994,0.002784822993292413,0.0195395631004881,0.24369635795127276,0.0319421148891519
NVDA_LogReturn,2108.0,0.0017918334070276263,-0.2077118873740229,-0.015025394469964037,0.002780952435887718,0.01935111650600685,0.21808787927516216,0.03191001644226219
NVDA_NormClose,2109.0,1040.0586309775265,63.92508408060902,134.20178572119684,383.3318368468514,1804.1608000526348,4783.4283215227015,1243.2852686357094
NVDA_MA20,2090.0,50.70438422574951,3.43079160451889,6.638411080837249,18.738801097869874,87.79265718460083,214.74550094604493,60.314658576279655
NVDA_MA50,2060.0,49.95056450012818,3.598968925476074,6.5131111502647405,18.733451385498046,86.30432888031005,196.80779998779298,59.12873486770163
NVDA_Volatility20,2089.0,0.47155359287658244,0.17003958389523247,0.3324905107680894,0.4090209956354512,0.5784873149759057,1.38143404932545,0.1937738038913298
NVDA_Return_Capped,2108.0,0.0022542974511176894,-0.06659203369309213,-0.014913075616943994,0.002784822993292413,0.0195395631004881,0.07121852117663624,0.028622760538895776
NVDA_Volume_Capped,2109.0,414672057.61024183,65528500.0,256618300.0,389642000.0,528402000.0,936077550.0,195009905.94907296
^IXIC_Return,2108.0,0.0007385649444831665,-0.12321331290147408,-0.005906102944359337,0.0013012914732460912,0.008593285854136323,0.12163161348672213,0.014826265663404933
^IXIC_LogReturn,2108.0,0.0006282467120862392,-0.13149154641354954,-0.005923612972936088,0.0013004455250289482,0.008556572956293085,0.1147844229625985,0.014853339955188958
^IXIC_NormClose,2109.0,190.5410493441722,88.38316528260265,123.67052258965441,186.0513189740219,231.1408725118955,380.12846015133937,69.12384841329292
^IXIC_MA20,2090.0,13321.16667082134,6695.121020507812,8747.896533203126,13185.501831054688,16143.495227050782,25750.54716796875,4759.298986330532
^IXIC_MA50,2060.0,13286.247265904694,6942.62140625,8774.724174804687,13179.020625000001,16073.191118164063,23926.8514453125,4656.317952429256
^IXIC_Volatility20,2089.0,0.20894643768513202,0.07076558424968332,0.1380352306757886,0.18224843840601557,0.25493255232495,0.9444617957401839,0.11275215870499312
^IXIC_Return_Capped,2108.0,0.0008770399608403404,-0.027655186142102828,-0.005906102944359337,0.0013012914732460912,0.008593285854136323,0.030342369051879814,0.012574896922374089
^IXIC_Volume_Capped,2109.0,4929155026.078711,958950000.0,3089970000.0,4677520000.0,5950950000.0,10242420000.0,2288551931.5227127
